1.72	-0.15	1.00
0.23	1.10	-1.00
1.21	-0.46	1.00
0.13	1.01	-1.00
-0.09	1.04	-1.00
1.58	-0.09	1.00
1.01	-0.48	1.00
1.67	-0.37	1.00
0.76	0.54	-1.00
0.66	0.95	-1.00
-0.19	1.06	-1.00
0.92	-0.53	1.00
1.82	-0.20	1.00
0.45	0.82	-1.00
0.46	0.91	-1.00
0.43	-0.51	1.00
-0.89	0.25	-1.00
0.90	0.61	-1.00
0.20	0.74	-1.00
-0.87	0.42	-1.00
2.14	0.20	1.00
0.65	-0.42	1.00
-0.08	0.91	-1.00
1.79	0.34	1.00
-1.04	0.33	-1.00
1.04	0.25	-1.00
-1.06	0.14	-1.00
1.27	-0.52	1.00
-0.54	0.85	-1.00
1.94	0.31	1.00
1.40	-0.39	1.00
1.74	0.49	1.00
0.41	1.01	-1.00
1.81	-0.05	1.00
2.02	0.09	1.00
-0.81	0.19	-1.00
0.13	0.09	1.00
0.16	0.42	1.00
-0.12	0.14	1.00
0.33	-0.34	1.00
1.04	0.25	-1.00
-0.21	1.10	-1.00
0.30	0.03	1.00
0.89	-0.66	1.00
0.47	0.89	-1.00
0.42	-0.30	1.00
2.11	0.07	1.00
0.97	0.53	-1.00
0.01	-0.07	1.00
-0.03	0.43	1.00
-0.83	0.67	-1.00
0.27	0.97	-1.00
1.78	0.28	1.00
0.99	0.07	-1.00
0.37	-0.34	1.00
0.02	1.01	-1.00
0.69	-0.38	1.00
0.35	-0.22	1.00
0.84	0.64	-1.00
0.19	-0.26	1.00
-0.65	0.63	-1.00
-1.01	-0.18	-1.00
0.54	0.65	-1.00
1.64	-0.28	1.00
1.88	-0.08	1.00
-0.03	0.28	1.00
-0.03	1.02	-1.00
-0.39	1.01	-1.00
1.44	-0.48	1.00
0.97	-0.54	1.00
1.19	-0.02	-1.00
1.00	0.22	-1.00
0.85	0.47	-1.00
0.19	0.14	1.00
-0.90	0.72	-1.00
-0.33	0.88	-1.00
1.07	0.15	-1.00
-0.96	0.16	-1.00
-0.27	0.91	-1.00
-0.88	0.35	-1.00
-0.76	0.84	-1.00
1.31	-0.33	1.00
1.16	-0.39	1.00
-0.76	0.81	-1.00
0.24	-0.32	1.00
0.89	0.48	-1.00
-0.66	0.85	-1.00
1.76	0.02	1.00
-0.11	0.26	1.00
1.93	-0.09	1.00
0.12	1.04	-1.00
0.74	0.66	-1.00
-1.03	0.11	-1.00
0.56	-0.29	1.00
-0.89	0.44	-1.00
0.74	-0.52	1.00
0.62	-0.36	1.00
-0.03	0.68	1.00
0.71	-0.25	1.00
1.47	-0.47	1.00
